ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
000571,Fractal Protocol,['Cryptocurrency'],"Fractal Protocol is an open-source, zero-margin protocol that defines a basic standard to exchange user information in a fair and open way.","264,039",2017-01-01,,https://protocol.fractal.id/,https://twitter.com/fractalprtcl,,https://www.linkedin.com/company/fractalprotocol/,"Fractal Protocol is an open-source, zero-margin protocol that defines a basic standard to exchange user information in a fair and open way, ensuring a high-quality version of the free internet.","['Blockchain and Cryptocurrency', 'Financial Services', 'Payments', 'Software']",3.0,30.5,"Julian Leitloff, Julio Santos, Nele Wollert",1,2020-01-01,,Venture - Series Unknown,,Axia8 Ventures,0.0,1.0,0.0,,,,0,4118,31,11-50,11,50
000572,FRAMEN,"['Advertising', 'Computer Vision', 'Marketing']","We build the internet of screens in semi-public spaces for news, inspirations and advertisement.","212,262",2018-04-18,2020-12-16,https://www.framen.com,https://twitter.com/framen_io,https://www.facebook.com/framen.io,https://www.linkedin.com/company/framen,"FRAMEN is the leading platform for short video clips on public screen. Our mission is to inspire creativity and bring joy creating the ""Internet of Screens"".","['Advertising', 'Hardware', 'Sales and Marketing', 'Software']",7.0,75.5,"Alexander Gärtner, Alexander Gärtner, Dimitri Gartner, Magdalena Pusch, Magdalena Pusch, Sveatoslav Podobinschi, Sveatoslav Podobinschi",6,2021-01-02,,Series B,,"SoftBank, Axel Springer, VentureOut, APX, WeWork Creator Fund",4.0,9.0,0.0,Was Acquired,Axel Springer,2020-12-16,0,6582,68,51-200,51,200
000573,Frameright,"['Developer Tools', 'Digital Media', 'E-Commerce Platforms', 'Enterprise Software', 'Image Recognition', 'Information Services', 'Information Technology', 'Photography', 'SaaS', 'Software']","Power to the Pictures. Image Display Control for creators, developers and businesses.","120,593",2017-03-01,,https://frameright.io,https://twitter.com/getframeright,https://www.facebook.com/Frameright/,https://www.linkedin.com/company/frameright,"Control how your images appear. Everywhere. Forever. Image display on the web is dictated by channel and screen size. This means pictures don't display as intended. Whether you are a photographer, creator, developer, or business, Frameright empowers you to take over the control of one of your most important assets. At Frameright, we are dedicated to building the market-defining Image Display Control technology. IDC makes your images smart and adaptable into any container and screen, no matter where they are used.  Powered by our custom AI, Frameright speeds up your workflows and futureproofs your images. And at the core of it all, you always have the final say on your story’s composition","['Commerce and Shopping', 'Content and Publishing', 'Data and Analytics', 'Information Technology', 'Internet Services', 'Media and Entertainment', 'Software']",2.0,5.5,"Ilkka Järstä, Marina Ekroos",6,2020-12-01,400000.0,Pre-Seed,762272.0,"Business Finland, Next Media Accelerator, SCNE, Helsingin Sanomat Foundation, Startup Sesame",5.0,5.0,0.0,,,,0,247,4,2-10,2,10
000574,Frequenz,"['Artificial Intelligence (AI)', 'Renewable Energy']",Frequenz is a power exchange that manages renewable energy production and procurement.,"9,346",2019-01-01,,https://frequenz.com/de/,,,https://www.linkedin.com/company/frequenz-com/,"Frequenz manages renewable energy production and procurement through AI, IoT, and battery storage technologies. They develop the open and collaborative EDGE platform for decentralized finance markets. Their EDGE platform provides solutions for the deployment, optimization, and operation of microgrid infrastructures. Their solutions such as flat rate energy, power storage energy, direct marketing energy, and fleet energy.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Energy', 'Science and Engineering', 'Software', 'Sustainability']",2.259757738896366,30.5,,2,2024-11-26,10000000.0,Venture - Series Unknown,23281902.0,"SET Ventures, 468 Capital, Cape Capital AG, Enkraft, Alexander Rittweger",1.0,5.0,0.0,,,,0,1475,60,11-50,11,50
000575,Fresh Energy,"['Clean Energy', 'Electrical Distribution', 'Energy', 'Energy Management', 'Machine Learning', 'Security']","Fresh Energy is a digital electricity provider that is eco-friendly, low-cost, data-driven and based on machine learning algorithms.","116,582",2017-01-01,2020-12-04,https://www.getfresh.energy,https://twitter.com/_freshenergy,https://www.facebook.com/freshenergyapp,https://www.linkedin.com/company/freshenergy,"Fresh Energy is the first digital electricity provider that is eco-friendly, low-cost, and data-driven. Fresh Energy generates unparalleled insights based on smart meter data with highest security in such a way that the customer benefits and has always control over his/her data.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Energy', 'Privacy and Security', 'Software', 'Sustainability']",2.0,30.5,"Christian Bogatu, Daniel von Gaertner",1,2017-07-31,3000000.0,Seed,3546200.0,Future Energy Ventures,1.0,1.0,0.0,Was Acquired,EWE AG,2020-12-04,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000576,FRIDAY,"['Finance', 'Insurance', 'InsurTech']",The first insurance experience customers love.,"92,751",2017-01-01,,https://www.friday.de/,https://twitter.com/FRIDAY_TechTalk,https://www.facebook.com/gofridayde,https://www.linkedin.com/company/fri-day/,"FRIDAY was founded in 2017 with the support of the Swiss Baloise Group, by an experienced team under the leadership of Dr. Christoph Samwer. The Berlin-based insurance company has been independent since May 2018. FRIDAY Insurance S.A. is the risk carrier and subject to oversight of the Commissariat aux Assurances in Luxembourg, under limited supervision of the Federal Financial Supervisory Authority (BaFin). With modern technology and digital innovation, FRIDAY is changing the insurance experience and has won the trust of more than 100.000 customers. FRIDAY customers pay only for what they drive, can compensate their CO2 emissions and enjoy a fully digital experience.  FRIDAY is one of the fastest-growing InsurTechs across Europe and unites more than 180 talents from all over the world with offices in Berlin, Luxembourg, Paris and Warsaw. Caring for our employees, their ambitions, dreams and challenges is what makes us a unique employer. Together we can build an environment where everyone feels empowered and has the confidence to explore, to grow and to shape a better future for our customers and the world around us.",['Financial Services'],2.0,175.5,"Christoph Samwer, Florian Eismann",1,2019-03-07,114000000.0,Venture - Series Unknown,127660146.0,"SevenVentures, German Media Pool, Baloise Strategic Ventures",0.0,3.0,0.0,,,,0,5377,156,51-200,51,200
000577,FROGO AD,"['Ad Targeting', 'Advertising', 'Digital Marketing', 'Marketing', 'Marketing Automation']",Context-Driven-Targeting for smart advertisers,"203,147",2018-02-01,,https://www.frogo-ad.com/,,,https://www.linkedin.com/company/frogo-ad,"The FROGO AD performance-marketing platform offers automated, local & data-driven context targeting for smart advertisers.","['Advertising', 'Sales and Marketing', 'Software']",2.0,5.5,"David Seydel, Karim Omar",1,2017-11-01,120000.0,Seed,139543.0,,0.0,0.0,0.0,,,,0,25,1,2-10,2,10
000578,Fundament Group,"['Blockchain', 'Cryptocurrency', 'Financial Services', 'FinTech', 'Real Estate']",Fundament Group democratizes access to financial investments and offers a regulated real estate crypto token.,"277,259",2018-01-01,,https://www.fnd.group,https://twitter.com/GroupFundament,https://www.facebook.com/Fundament-Group-107325690635291/,https://www.linkedin.com/company/fundament-group/,"Fundament Group democratizes access to financial investments and offers a regulated real estate crypto token that is approved by the German Financial Market Authority, which gives it a steady value growth and a planned annual yield of 4% plus possible sales revenue. The company's tech stack integrates blockchain, smart contracts, web services, and mobile apps. It brings liquidity into a traditional illiquid asset class and can be traded on licensed exchanges and peer-to-peer. Its clients are asset managers, promoters, and developers that want to attract investors for traditional products in a modern, innovative, and cost-saving fashion. Fundament Group was founded on 2018 and is headquartered in Berlin, Germany.","['Blockchain and Cryptocurrency', 'Financial Services', 'Other', 'Payments', 'Real Estate', 'Software']",3.0,5.5,"Florian Glatz, Robin Matzke, Thomas Ermel",1,2019-10-11,,Corporate Round,,Bauwens Digital,1.0,1.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000579,fundflow,"['Finance', 'Financial Services', 'FinTech']",fundflow allows small business to free their locked up cash via frictionless financing,"414,467",2016-01-01,,https://www.fundflow.de/,https://twitter.com/fundflow_de,https://www.facebook.com/FundFlowServices,https://www.linkedin.com/company/fundflow/,FundFlow stellt Ihnen binnen 24 Stunden Liquidität zur Verfügung. Hierfür nutzen wir eine oder mehrere Rechnungen an Ihre Kunden als Sicherheit.,['Financial Services'],2.0,30.5,"Antonio Faralli, Joachim Kaune",1,2016-10-13,,Seed,,HTGF | High-Tech Gruenderfonds,1.0,1.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000580,Funeria,['Consulting'],Funeria is a funeral industry that offers burial consultation and planning.,"167,017",2016-01-01,,https://funeria.de/,https://twitter.com/Funeria_de,,https://www.linkedin.com/company/funeria/,"Funeria provides services for the dead and their families, such as tree burial and cemetery care, for a fixed price. Additionally, they offer online information about funerals that supports digitization.",['Professional Services'],2.259757738896366,5.5,,1,2016-06-13,127762.0,Seed,127762.0,Techstars,1.0,1.0,0.0,,,,0,52,8,2-10,2,10
000581,Future Demand,"['Advertising', 'Marketing', 'Media and Entertainment', 'SaaS', 'Sales']",Future Demand is a software platform that provides SaaS solution for predicting demand for events and digital services.,"436,094",2019-01-01,,https://www.future-demand.com/,,,https://www.linkedin.com/company/future-demand/,"Future Demand has changed the way the live entertainment and sports event industries reach out to their customers and sell tickets and merchandise. The platform brings event ticket sales and marketing into the digital age. This allows promoters to concentrate on their core competencies, creating one-of-a-kind and amazing experiences for their customers. They are a forward-thinking and visionary team of data experts, software engineers, consultants, marketers, and industry experts poised to revolutionize the live entertainment and sports industries.","['Advertising', 'Media and Entertainment', 'Sales and Marketing', 'Software']",1.0,30.5,Hannes Tronsberg,1,2021-10-27,,Seed,,"IBB Ventures, Carlo Kölzer",0.0,2.0,0.0,,,,0,981,21,11-50,11,50
000582,Futuredu Labs,"['Education', 'Information Technology']",Futuredu Labs is an educational technology platform that offers software courses.,"2,474,618",2016-01-01,,http://Futuredu-Labs.com,,,https://www.linkedin.com/company/futuredu-labs/,"Futuredu Labs is a digital educational platform that promotes education through technology. They offer mobile and web application development services. Futuredu designs and programs websites for schools or universities and creates websites functional for pcs, tablets, and smartphones.","['Education', 'Information Technology']",1.0,30.5,Ben Ergin,1,2016-04-22,,Private Equity,,,0.0,0.0,0.0,,,,0,5,1,11-50,11,50
000583,FYTA,"['Apps', 'E-Commerce', 'Home and Garden']",FYTA is a Berlin-based start-up that creates products for people who are passionate about plants and indoor gardening.,"349,086",2018-01-01,,https://fyta.de/,,,https://www.linkedin.com/company/fyta,FYTA is a Berlin-based start-up that creates products for people who are passionate about plants and indoor gardening. FYTA was founded in Berlin in mid-2018 by Claudia Nassif and Sylvie Basler.,"['Apps', 'Commerce and Shopping', 'Real Estate', 'Software']",2.259757738896366,30.5,,1,2021-07-01,,Pre-Seed,,APX,0.0,1.0,0.0,,,,0,1766,16,11-50,11,50
000584,gallereplay,"['Marketplace', 'Photography']",gallereplay is a stock image marketplace specialising in micro-videos.,"1,465,372",2015-01-01,,https://www.gallereplay.com/,,,https://www.linkedin.com/company/gallereplay/,gallereplay is a stock image marketplace specialising in micro-videos. License from our collection of video loops or hire experienced creators.,"['Commerce and Shopping', 'Content and Publishing', 'Media and Entertainment']",2.259757738896366,5.5,,1,2016-01-01,,Seed,,Axel Springer Plug and Play Accelerator,1.0,1.0,0.0,,,,0,84,4,2-10,2,10
000585,Gaming Star,"['Apps', 'Gaming', 'Online Games']",Gaming Star is an online gaming platform.,"485,826",2018-01-01,,https://app.gaming-stars.net/auth,,,https://www.linkedin.com/company/gaming-stars,"Gaming Star is a video game app that allows gamers to play PlayStation, Xbox, PC, and mobile games. They apply the concept of online poker to their video games. They developed a unique game mode that applies the concept of sports betting to video gaming.","['Apps', 'Gaming', 'Software']",2.259757738896366,30.5,,1,2021-09-21,,Seed,,"Business Angels Switzerland (BAS), GVenture Technology",0.0,2.0,0.0,,,,0,315,8,11-50,11,50
000586,Gapless,"['Apps', 'Automotive', 'InsurTech', 'Mobile Apps', 'Web Apps']",Gapless is a blockchain based platform for collectible cars.,"89,871",2018-09-01,,https://www.gapless.app,https://twitter.com/gapless_app,https://www.facebook.com/gaplesscarhistory/,https://www.linkedin.com/company/18728842/admin/,"Gapless is building a blockchain based platform for collectible cars, and later on we want to move into all things collectible.","['Apps', 'Financial Services', 'Mobile', 'Software', 'Transportation']",3.0,5.5,"Andreas Joebges, Jan Karnath, Malte Hausler",1,2020-04-29,5500000.0,Seed,5982605.0,"LA ROCA Capital, Porsche Ventures, EOS VC Fund, Startup Autobahn, Kersten Jodexnis",0.0,5.0,0.0,,,,0,711,3,11-50,11,50
000587,Garden,"['Cloud Data Services', 'Cloud Management', 'DevOps', 'Information Technology', 'Internet', 'IT Infrastructure', 'Mobile', 'Software']","Garden is a DevOps platform providing production-like environments to build, manage and test cloud-native apps.","17,218",2018-01-01,2024-11-04,https://garden.io/,https://twitter.com/garden_io,,https://www.linkedin.com/company/garden-io/,"Garden is a Kubernetes testing platform for every step of the development process.  The widespread adoption of cloud native technologies such as containers and Kubernetes has made it easier than ever to operate and scale applications. But important developer workflows have been overlooked or neglected along the way. Many developers find that they’re now less productive than they were before the cloud native era. Testing is a critical part of the development process and one that’s in need of a major upgrade. Modern cloud native testing practices are largely driven by what’s feasible rather than what’s useful. Developers working on distributed microservices applications have been left without an efficient way to build, run tests, and troubleshoot in a production-like environment. Garden makes it easy to spin up ephemeral testing and preview environments for integration tests, manual QA, and development. With Garden, developers get fast feedback exactly when they need it, and DevOps teams are no longer bogged down with provisioning and managing ad hoc environments.  The open source Garden Core is available on GitHub: https://github.com/garden-io/garden We also offer a fully supported enterprise edition: https://garden.io/product/","['Information Technology', 'Internet Services', 'Mobile', 'Software']",4.0,30.5,"Bas Peters, Eythor Magnusson, Jón Edvald, Thor Sigurdsson",3,2022-03-01,14310000.0,Series A,20833374.0,"Fly Ventures, 468 Capital, byFounders, Crowberry Capital, Samsung NEXT’s Q Fund",4.0,7.0,0.0,Was Acquired,Incredibuild,2024-11-04,0,2118,23,11-50,11,50
000588,GCN Global Comparison Network,['Internet'],GCN Global Comparison Network GmbH has been active in the field of internationally operating meta search business.,"376,024",2015-01-01,,https://www.globalcomparison.net/,,,https://www.linkedin.com/company/gcn-global-comparison-network-gmbh/,,['Internet Services'],1.0,75.5,Fabian Hansmann,1,2021-12-01,,Seed,,Schürfeld Group,0.0,1.0,0.0,,,,0,175,22,51-200,51,200
000589,Genomix Thera,"['Biotechnology', 'Life Science']",GenomixThera specializes in personalized cancer treatments using CRISPR-Cas9 gene editing and quantum-guided nanoparticle delivery systems.,"39,839",2016-05-25,,https://www.genomixthera.com/,,,,,"['Biotechnology', 'Science and Engineering']",1.0,5.5,Maximilian Fischer,2,2024-01-19,4860000.0,Seed,7360000.0,,0.0,0.0,0.0,,,,0,,,,,
000590,German Autolabs,"['Automotive', 'Internet of Things', 'Last Mile Transportation', 'Logistics', 'Navigation']",German Autolabs empowers mobile workers in logistics with voice assistance.,"56,804",2016-05-01,,http://germanautolabs.com,https://www.twitter.com/germanautolabs,,https://www.linkedin.com/company/german-autolabs,"German Autolabs empowers mobile workers in logistics with voice assistance, increasing efficiency and improving quality of service in many transport industries. Their unique modular technology can be deployed in driver apps, scanners and vehicles. German Autolabs builds industry-specific solutions that augment daily workflows of professional drivers, couriers and delivery staff. Their assistant skills speak the language of logistics and are used by leading providers around the world.","['Internet Services', 'Navigation and Mapping', 'Transportation']",3.0,30.5,"Daniel Mieves, Holger Weiss, Patrick Weissert",7,2022-12-22,,Series A,11314409.0,"GoBeyond, Redstone.VC, Atlantic Labs, Target Partners, coparion",4.0,9.0,0.0,,,,0,3212,16,11-50,11,50
000591,Get a Camp,['Travel'],Get a Camp is a platform for campsite holidays where clients can find and book the best and most beautiful campsites.,"2,186,491",2016-01-01,,https://www.getacamp.com/,https://twitter.com/getacamp,https://www.facebook.com/getacamp,https://www.linkedin.com/in/sgartmann,Get a Camp is a platform for campsite holidays where clients can find and book the best and most beautiful campsites.,['Travel and Tourism'],3.0,5.5,"Daniel Eschle, Fabian Gartmann, Sebastian Gartmann",1,2016-04-01,,Seed,,"Plug and Play, Axel Springer Plug and Play Accelerator",0.0,2.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000592,GETAWAY,"['Car Sharing', 'Mobile Apps', 'Rental', 'Sharing Economy']",GETAWAY is an Enterprise Grade turnkey shared mobility solution provider,"704,879",2015-08-01,,https://getaway.pro,https://mobile.twitter.com/getaway_pro,,,"GETAWAY provides an enterprise scale shared mobility platform for companies that want to digitalis and offer digital car rental or car sharing solutions. The solution stack includes consumer facing apps, 3rd party integrations, API first solution, fleet management tools and data dashboards. The company was founded in 2015 and based in Berlin, Germany.","['Apps', 'Commerce and Shopping', 'Mobile', 'Other', 'Software', 'Transportation']",2.0,5.5,"Edgar Scholler, Salah Ghanim",1,2018-04-15,,Seed,,,0.0,0.0,0.0,,,,0,,,,,
000593,GETEK,"['Chemical', 'Chemical Engineering']",GETEK produces aluminium billets utilizing advanced spray-forming technology.,"3,338,209",2015-01-01,2020-09-17,,,,,GETEK produces aluminum billets utilizing advanced spray-forming technology.,['Science and Engineering'],2.259757738896366,30.5,,1,2017-10-01,,Corporate Round,,Granges AB,1.0,1.0,0.0,Was Acquired,Granges AB,2020-09-17,0,,,,,
000594,GetSteps,"['Health Care', 'Shoes']",GetSteps is an orthopedic shoemaker company.,"84,051",2019-01-01,,https://get-steps.com/,https://twitter.com/get_steps?lang=en,https://www.facebook.com/getsteps.einlagen/,https://www.linkedin.com/company/getsteps/,"GetSteps produces and markets insoles. Every insole is customized for every foot and every pair of shoes. The various materials are integrated into insoles based on footprint, shoe shape, and any prior ailments. Also available is free shipping.","['Clothing and Apparel', 'Consumer Goods', 'Health Care']",2.0,30.5,"Annik Wolf, Vincent Hoursch",2,2022-06-15,,Non-equity Assistance,2947998.0,"Google for Startups, STS Ventures, Felix Jahn, Benedikt Franke, Philip Stangner",1.0,5.0,0.0,,,,0,771,11,11-50,11,50
000595,Getsurance,"['Information Technology', 'Insurance', 'InsurTech', 'Internet']",Getsurance is an online life insurance company.,"96,178",2016-03-01,2021-01-25,https://getsurance.de,https://www.twitter.com/getsurance,https://www.facebook.com/getsurance,https://www.linkedin.com/company/getsurance/,"Getsurance offers digital life insurance that people can buy online in 5 minutes. They’re a small Berlin-based team of innovators who are reshaping the insurance industry. They develop their products from scratch using cutting edge technology to create a user-centric experience. Getsurance was founded in 2016 and has been moving fast ever since with the support of their partner and risk carrier, the Reinsurance Group of America.","['Financial Services', 'Information Technology', 'Internet Services']",2.0,30.5,"Johannes Becher, Viktor Becher",3,2018-05-02,,Secondary Market,2738301.0,"IBB Ventures, Picus Capital, PostFinance, RGAx, Katrin Bornberg",0.0,6.0,0.0,Was Acquired,Nuernberger Versicherung,2021-01-25,0,1244,10,11-50,11,50
000596,Girafi,"['Brand Marketing', 'Customer Service', 'E-Commerce', 'Internet']",Girafi helps brands incentivize their clients by creating effective interactions.,"200,820",2016-03-01,,http://www.girafi.co/,https://www.twitter.com/girafi_co,https://www.facebook.com/girafi.co,https://www.linkedin.com/company/10461002?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10461002%2Cidx%3A2-1-2%2CtarId%3A1460061876391%2Ctas%3Agirafi,"Girafi is a marketing tool which help online businesses to convert their website visitors faster. It helps e-commerce sites, bloggers, and artists increase their social activities, create buzz and drive sales by running contests/challenges with engaging interactions. The company is on a mission to change the way how brands incentivize their clients, engage them, and run promotion campaigns. Girafi means ease of use, hassle-free, personalized experience, and improved customer journey. ","['Commerce and Shopping', 'Internet Services', 'Other', 'Professional Services', 'Sales and Marketing']",4.0,5.5,"Adrian Topka, Maksymilian Robiński, Mateusz Piasecki, Paweł Strojek",1,2016-03-01,25000.0,Seed,27163.0,"Plug and Play, Axel Springer Plug and Play Accelerator",0.0,2.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000597,gitti,"['Beauty', 'Consumer Goods']",Gitti is a direct-to-consumer beauty company with a focus on conscious beauty innovations.,"46,054",2018-01-01,,https://www.gitticonsciousbeauty.de,,,https://www.linkedin.com/company/gitticonsciousbeauty,"Gitti is a direct-to-consumer beauty company with a focus on conscious beauty innovations. It provides innovative products with a low ecological footprint. Natural formulas replace conventional, questionable chemical ingredients. The company was founded in 2018 and is headquartered in Berlin, Germany.",['Consumer Goods'],1.0,30.5,Jennifer Baum-Minkus,3,2021-08-03,6900000.0,Seed,11741322.0,"b2venture, Google for Startups, XAnge, Grazia Equity, Julius Göllner",2.0,7.0,0.0,,,,0,7015,38,11-50,11,50
000598,Glambou,"['E-Commerce', 'Jewelry']",A fast growing multichannel jewelry company. We offer international designers a unique platform to market their products.,"60,820",2018-01-01,,https://www.glambou.com,,https://www.facebook.com/glambouofficial,https://www.linkedin.com/company/glambou,"We are a fast growing multichannel jewelry company from Switzerland. We offer hip brands and young designers a unique platform to market and distribute their products globally. We curate international brands with a focus on uniqueness. In addition, we run a successful own brand and are constantly expanding this business segment.","['Commerce and Shopping', 'Consumer Goods']",2.0,30.5,"Bernd Stadlwieser, Cornelius Lauritzen",1,2022-06-27,5500000.0,Convertible Note,5500000.0,Lakeshore Ventures,1.0,1.0,0.0,,,,0,1844,48,51-200,51,200
000599,GlassDollar,"['Data Mining', 'Internet', 'Search Engine']",GlassDollar is a technology company that makes the corporate startup sourcing process digital and scalable.,"34,528",2019-09-01,,http://glassdollar.com,https://twitter.com/glassdollar,,https://www.linkedin.com/company/glassdollar,"GlassDollar is a technology company that makes the corporate-startup sourcing process digital and scalable. The company also assists corporations in identifying, implementing, and scaling startup solutions that produce tangible results and have a real impact across the organization. Its startup solution marketplace and innovation project management software assists innovation teams in sourcing, managing, and successfully scaling impactful startup collaborations within their organizations. GlassDollar enables and streamlines corporate activities throughout the entire innovation journey by leveraging data and automation. Their software enables innovation units to run higher quality PoCs and create real, measurable business impact by identifying new innovation opportunities within the organization, sourcing the best solution providers, and managing all stakeholders within the projects.","['Data and Analytics', 'Information Technology', 'Internet Services']",2.0,30.5,"Fabian Dudek, Jan Hoekman",4,2023-05-31,2000000.0,Seed,4173718.0,"blueworld.group, APX, 22 Capital, HTGF | High-Tech Gruenderfonds, Hauer Ventures",2.0,23.0,0.0,,,,0,6097,39,11-50,11,50
000600,goedle.io,"['Artificial Intelligence (AI)', 'Machine Learning', 'Marketing Automation', 'Predictive Analytics', 'SaaS']",Goedle.io provides algorithms to track and help increase customer spending.,"176,364",2016-03-01,,http://goedle.io/,https://twitter.com/goedle_io,https://www.facebook.com/goedleio-277920669274884,https://www.linkedin.com/company/goedle-io/,"The goedle.io AI predicts customer behavior, automating customer communications for marketing teams and helping businesses drive higher customer lifetime value.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Sales and Marketing', 'Science and Engineering', 'Software']",2.0,5.5,"Fabian Hadiji, Marc Müller",2,2019-04-02,,Pre-Seed,124103.0,"Techstars, Data Pitch",1.0,2.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000601,Goggo Network,['Automotive'],Goggo is developing the legal and engineering framework of European autonomous mobility networks.,"64,678",2018-01-01,,https://goggo.network/,https://twitter.com/goggonetwork,https://www.facebook.com/Goggo-Network-107764777382680/,https://www.linkedin.com/company/goggo-network/,"Goggo is developing the legal and engineering framework of European autonomous mobility networks.Goggo strives to lead the driverless revolution in order to solve the transportation challenges of today heavy traffic, pollution etc. their vision is to provide all people with autonomous, electric and shared mobility solutions through the creation of Autonomous Mobility Networks.",['Transportation'],3.0,30.5,"Jesus Mejia, Martin Varsavsky, Yasmine Fage",1,2019-12-17,24000000.0,Series A,26763312.0,"SoftBank, Axel Springer Digital Ventures",0.0,2.0,0.0,,,,0,8620,22,11-50,11,50
000602,GoLexic,['E-Learning'],GoLexic helps parents and children overcome reading difficulties through a digital platform.,"183,422",2019-01-01,,https://www.golexic.com/,,https://www.facebook.com/GoLexic,https://www.linkedin.com/company/golexic/,,"['Education', 'Software']",1.0,5.5,Samantha Merlivat,1,2023-06-28,10000.0,Grant,10915.0,CONTENTshift,1.0,1.0,0.0,,,,0,290,5,2-10,2,10
000603,GoLiving,"['Real Estate', 'Rental', 'Rental Property']","GoLiving offers community-centric co-living spaces with fully furnished, fully equipped, stylishly decorated shared-flats.","550,722",2019-01-01,2020-07-22,https://goliving.eu/,,https://www.facebook.com/sharedflatswithGoLiving,https://www.linkedin.com/company/goliving/about/,GoLiving is a provider to supports companies in finding accommodation for newly recruited employees by providing fully equipped apartments with a community-oriented full-service offer.,"['Commerce and Shopping', 'Real Estate']",2.0,30.5,"Hasib Samad, Tobias Bruhne",1,2019-01-01,,Seed,,"Picus Capital, High Rise Ventures",2.0,2.0,0.0,Was Acquired,Habyt,2020-07-22,0,594,2,11-50,11,50
000604,Grand perspective,['Public Safety'],Grand perspective provides early warning solution for hazardous gases that covers complete industrial sites.,"84,634",2018-01-01,,https://www.grandperspective.de/en/,,,https://www.linkedin.com/company/grandperspective-gmbh/,Grandperspective offers an early warning system for dangerous gases that covers entire industrial areas. The company visualizes and locates dangerous gas clouds and warns in real time against gas leaks and fugitive emissions using optical sensor devices that detect a wide range of chemicals from a distance.,['Government and Military'],2.259757738896366,30.5,,1,2022-10-17,7000000.0,Series A,6890693.0,"HTGF | High-Tech Gruenderfonds, Saudi Aramco Energy Ventures, Brandenburg Kapital, kineo finance",1.0,4.0,0.0,,,,0,1527,28,11-50,11,50
000605,Gravit GmbH,"['Collaboration', 'Information Technology', 'Mobile', 'Software']",Design Like A Boss - Create stunning designs with the world's most powerful design software,"298,446",2015-01-01,,https://www.gravit.io,https://twitter.com/gravit_io,https://www.facebook.com/Gravit.io,https://www.linkedin.com/company/10344253,Create incredible designs with the world's most powerful #design software made for everyone!,"['Information Technology', 'Mobile', 'Other', 'Software']",1.0,30.5,Alexander Adam,1,2016-01-12,,Seed,,HTGF | High-Tech Gruenderfonds,0.0,1.0,0.0,,,,0,145,1,11-50,11,50
000606,GRID Esports,"['Analytics', 'Big Data', 'eSports', 'Gaming', 'Online Games', 'Software', 'Sports', 'Video Games']",The GRID Data Platform provides data infrastructure and distribution solutions to the leading game publishers.,"24,614",2018-01-01,,https://www.grid.gg,https://twitter.com/gridesports,,https://www.linkedin.com/company/grid-esports,"GRID is a game data platform providing esports data infrastructure and distribution solutions to the leading game publishers including Riot Games, Ubisoft, and KRAFTON, and tournament organizers in VALVE Ecosystem for CSGO and DotA2 such as PGL, IMG, WePlay, and Perfect World.  The GRID Distribution Solutions allow to provide esports data to a network of over 350 directly integrated commercial customers in over 20 use cases ranging from talent scouting, and betting to AI, and media.  In addition, GRID enables access to data via the customizable GRID Portals to various user groups including competitive stakeholders. The GRID Open Access provides free access to esports data for fans, developers, community creators, and academic and scholastic projects empowering a new wave of data-driven innovation in the esports ecosystem. GRID employs over 100 people and is headquartered in Berlin with teams in the USA, Poland, Sweden, and China.","['Data and Analytics', 'Gaming', 'Software', 'Sports']",4.0,75.5,"Chris King, Mikael Westerling, Moritz Maurer, Thomas Warburton",1,2021-04-09,10000000.0,Series A,10000000.0,"Dreamcraft Ventures, Tar Heel Capital Pathfinder, Alinea Capital, Agileo Ventures",3.0,4.0,0.0,,,,0,4636,95,51-200,51,200
000607,Groupify,['E-Commerce'],Groupify develops software that allows customers to interact and order with friends while shopping online.,"1,318,604",2018-01-01,,https://www.groupify.de,,,,"Groupify provides social shopping technology as a service that enables online shops to add a social shopping layer to their shop interface. They allow customers to shop together, receive discounts, and communicate with each other while shopping.",['Commerce and Shopping'],1.0,5.5,Alex von Harsdorf,1,2019-03-01,,Angel,,Mavericks Founders,0.0,1.0,0.0,,,,0,,,,,
